avaliacao,ano
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo parcialmente,20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
"Nem concordo, nem discordo",20X1
Concordo totalmente,20X1
Concordo parcialmente,20X1
Concordo parcialmente,20X1
